User_ID,Age,Social_Media_Hours,Exercise_Hours,Sleep_Hours,Screen_Time_Hours,Survey_Stress_Score,Wearable_Stress_Score,Support_System,Academic_Performance,label,Cluster,PCA1,PCA2,Fitur,Gender
1,16,9.654486346,2.458001257,5.198925522,8.158188998,3,0.288962247,Moderate,Excellent,4,5,-0.4561177009273512,0.4187138462425163,1,Female
2,17,9.158143482,0.392094761,8.866096662,5.151993467,5,0.409446165,Moderate,Good,2,2,0.586504561653643,0.3607531092707168,2,Male
3,15,5.028755201,0.52011947,4.94309483,9.209325483,2,0.423837485,Moderate,Poor,2,2,0.5877523278105047,0.4014133590901839,3,Male
4,17,7.951102825,1.022629619,5.262773303,9.823657952,5,0.666020828,Moderate,Average,4,5,-0.461953646081411,0.3905321438368911,0,Female
5,17,1.357458531,1.225462167,6.196080351,11.33898971,5,0.928060356,High,Poor,3,3,-0.5754536399467263,-0.4273417084130597,3,Female
6,14,9.774381842,1.046108433,9.282089175,5.677746722,5,0.070586489,Low,Poor,0,4,0.5707365235083518,0.0841830220341336,3,Male
7,15,9.64353234,2.290941098,4.790720012,8.86016736,4,0.953353593,Low,Excellent,1,1,-0.4457371741817721,0.2031191317292604,1,Female
8,15,1.637289579,0.290854178,4.733405157,8.026162769,4,0.910201284,Moderate,Poor,4,5,-0.4575348028555228,0.4271350861445529,3,Female
9,15,2.994231248,1.053651059,6.96384993,7.252060695,5,0.1177323,Low,Poor,0,4,0.5714344570088842,0.0657798927480955,3,Male
10,17,1.001549975,2.511719999,5.658463247,10.90416474,2,0.183585031,Moderate,Good,2,2,0.5840115460334206,0.3680134794882211,2,Male
11,16,2.717175989,0.200391232,7.41236765,2.031673141,1,0.311595601,High,Excellent,5,0,0.3467152930372542,-0.7295099565294993,1,Male
12,15,8.159557894,2.827030523,6.709820108,4.821116061,3,0.559666041,Low,Good,1,1,-0.438979901171752,0.2140062892822067,2,Female
13,18,3.783156072,2.958950527,6.609754638,7.382772395,4,0.134476196,Moderate,Good,4,5,-0.452003891198229,0.3874985199749226,2,Female
14,17,0.883969671,0.265704521,4.671837823,3.782932616,1,0.200334953,Low,Good,0,4,0.5839062019231039,0.0920287916777675,2,Male
15,14,3.422255248,0.873817567,4.846298141,11.07866534,4,0.902675294,Moderate,Excellent,2,2,0.5686043165707245,0.3812481788782688,1,Male
16,16,9.813833342,1.117201998,8.926471465,8.475951176,4,0.109300631,Low,Average,1,1,-0.4424541013506752,0.1857626524964877,0,Female
17,18,6.296835953,2.329174106,9.315296425,6.778829946,4,0.398878265,High,Excellent,5,0,0.3401450009520439,-0.7793632637535179,1,Male
18,18,4.161609464,1.787780436,5.408101197,10.14701759,5,0.763001778,Low,Good,1,1,-0.4369147943425278,0.1645306620301198,2,Female
19,14,1.665385135,1.933097101,4.680763009,6.508861915,5,0.888583117,High,Average,3,3,-0.590466571554038,-0.4158709076148456,0,Female
20,16,9.861767973,2.272529468,4.320500032,7.586530119,4,0.336042563,High,Poor,5,0,0.3495593331246016,-0.7564332345971987,3,Male
21,17,8.208490093,0.353936998,7.649785682,2.027509956,4,0.164437505,Moderate,Average,2,2,0.5858316329059287,0.3606985110424917,0,Male
22,13,2.814773025,2.499628371,8.292119275,5.657005302,3,0.737011659,Moderate,Excellent,4,5,-0.4739033545149479,0.443162491161126,1,Female
23,16,0.700686957,2.116859413,6.236859935,3.387904724,1,0.772557759,Low,Good,0,4,0.5714938507865487,0.1044152569004896,2,Male
24,14,0.566255574,1.732025176,8.078055205,8.896886807,1,0.980033444,High,Poor,5,0,0.3333907627414317,-0.7083074448328528,3,Male
25,18,1.203781495,2.669206004,8.277752893,6.79026959,2,0.139541851,Moderate,Poor,2,2,0.5903941937316631,0.3689792442967468,3,Male
26,17,5.807685836,2.100919062,9.612053688,5.017575573,2,0.709420883,High,Good,5,0,0.3421686810201066,-0.7398423015762028,2,Male
27,16,9.287634212,0.605099888,4.389241827,6.678323394,2,0.417292538,High,Poor,3,3,-0.5595766468767704,-0.3800203232095929,3,Female
28,13,4.96743428,1.289236143,5.153750339,4.09629888,5,0.914629438,High,Poor,3,3,-0.5787191687249027,-0.3876536860134073,3,Female
29,13,8.429454825,1.482128601,4.411155926,11.25086632,5,0.407830884,Low,Poor,1,1,-0.4417820619989805,0.2059419204531908,3,Female
30,15,4.458866199,0.16565288,9.2079636,2.539726326,3,0.445960376,High,Excellent,3,3,-0.5759156396719041,-0.3895201831292792,1,Female
31,15,7.085835458,2.86391254,8.75552296,10.65417035,5,0.126796598,High,Average,5,0,0.3260442948867937,-0.7793876651344127,0,Male
32,14,7.318727373,0.385731782,7.447852424,7.113587887,2,0.320936785,Low,Excellent,0,4,0.566772445804211,0.108512369253412,1,Male
33,16,1.739637059,2.092383802,4.50198046,8.189464961,4,0.40084047,Low,Poor,1,1,-0.4342592829796865,0.1867116083493961,3,Female
34,16,3.61216059,1.518693108,5.639874152,5.026056209,2,0.017508754,Moderate,Excellent,4,5,-0.4524061820092343,0.4233241886889237,1,Female
35,18,6.373021565,0.07689675,5.786319088,11.66697617,3,0.437574468,High,Poor,5,0,0.3533983249720193,-0.7605618305644504,3,Male
36,18,0.706966082,2.774242428,7.364459176,4.818509585,4,0.336318551,High,Excellent,3,3,-0.5737702699176078,-0.4388858499644881,1,Female
37,18,3.615401878,2.555510426,5.548263364,7.888779971,5,0.803839736,Low,Average,1,1,-0.4446642736724965,0.156380148600717,0,Female
38,15,5.347994663,1.572773784,4.437759183,11.93416705,4,0.107112613,Low,Good,0,4,0.5693513278273844,0.0687304189863727,2,Male
39,16,9.96224493,0.686827008,8.384573811,10.81094396,3,0.760211127,Moderate,Average,4,5,-0.465717956637276,0.4261124235348509,0,Female
40,16,4.745335626,0.364868672,5.79448127,7.363298253,5,0.714011543,Low,Excellent,0,4,0.5660575543482139,0.0615791407389219,1,Male
41,13,8.160567571,1.090177438,6.714245062,11.90374523,1,0.241782328,Low,Excellent,0,4,0.5625081407711415,0.120867799879723,1,Male
42,15,4.320672851,0.766284843,4.76599981,9.013698617,2,0.083271668,Low,Average,1,1,-0.4399641427932215,0.2054448422279348,0,Female
43,17,7.963907226,1.520073603,8.81528982,4.087004161,2,0.841833446,Low,Excellent,0,4,0.5701690981962907,0.0947447763488658,1,Male
44,15,5.954148016,2.899227888,7.393191262,6.055962104,3,0.249430043,Moderate,Good,4,5,-0.4589739284237985,0.4273304529984852,2,Female
45,17,8.865954415,1.72486048,9.409513757,5.34493334,3,0.14556012,High,Good,5,0,0.3475304857159795,-0.7543629191078807,2,Male
46,13,4.109425524,2.669793168,6.972829378,5.440137083,2,0.359036602,High,Average,3,3,-0.587323350336011,-0.3791471368337156,0,Female
47,14,6.043044198,1.952636512,9.648554031,9.604564394,4,0.400882824,High,Poor,3,3,-0.5805214416651433,-0.3931234144166252,3,Female
48,16,6.300186806,1.42573958,9.351209226,7.842629273,1,0.32608798,High,Good,3,3,-0.5710539085469248,-0.3776952684836686,2,Female
49,13,4.173829418,2.563822688,7.458759139,2.380927116,1,0.976481113,High,Excellent,5,0,0.3290956175194107,-0.7014540313611082,1,Male
50,16,1.443120437,1.414104331,9.603360629,10.77448484,3,0.880820669,Low,Poor,0,4,0.5639460722007829,0.0871388732025344,3,Male
51,18,0.935594069,2.605884512,5.938532484,4.967961405,3,0.872975496,High,Good,3,3,-0.5709121268740719,-0.4166317269159089,2,Female
52,14,0.166715506,0.874730309,6.193852976,11.97074877,4,0.398767591,Low,Poor,0,4,0.5642064765219706,0.0808152644884747,3,Male
53,14,8.735342642,0.386439221,4.272867708,11.5419073,3,0.96286964,High,Excellent,3,3,-0.581285688561757,-0.3804372132526376,1,Female
54,13,2.364749122,2.565943393,7.535205441,11.40530717,1,0.684015296,High,Average,3,3,-0.5941298035122842,-0.3700099146251633,0,Female
55,14,2.115067493,1.762245491,8.33154382,10.11127604,2,0.831994669,Low,Average,0,4,0.5508171028828438,0.0999583049744316,0,Male
56,17,7.360354004,2.667277195,8.641115141,4.206133317,1,0.500875125,High,Excellent,3,3,-0.5713692831439654,-0.3860162395291226,1,Female
57,14,3.200161131,2.813481621,4.898897716,7.32632744,4,0.160617293,Low,Average,0,4,0.5581850173945674,0.0672725414671961,0,Male
58,16,5.060446924,0.160885171,6.664954434,4.243026268,2,0.886885505,Moderate,Excellent,4,5,-0.4565927025645942,0.4421722472668614,1,Female
59,16,1.625110653,1.502907906,5.061179273,4.596754556,2,0.486426739,Moderate,Average,2,2,0.57898405325757,0.3797619766015339,0,Male
60,16,9.597457215,1.124893647,7.972764093,8.109517694,1,0.968554909,Moderate,Good,4,5,-0.4560045070810137,0.4595502016698965,2,Female
61,16,8.515814,1.877575191,4.947678235,2.408335454,2,0.254861011,High,Average,3,3,-0.5694548212320181,-0.3946801131521553,0,Female
62,17,8.63789623,2.380773592,9.424982104,11.69458567,2,0.992378991,High,Poor,5,0,0.3400998560061523,-0.734331415732004,3,Male
63,15,4.067737486,0.841770648,5.383807874,11.18673173,3,0.222424682,High,Average,3,3,-0.5806120271653266,-0.408526451186266,0,Female
64,18,7.623612137,1.670395153,5.748413598,5.807675722,2,0.368166758,High,Average,3,3,-0.5680187424587291,-0.4110261352118519,0,Female
65,13,1.438761554,2.12618574,9.105437933,7.15422448,4,0.594016523,Low,Average,0,4,0.5472471764414316,0.0834664703033219,0,Male
66,16,0.086190026,0.403293249,6.750805661,6.661194193,2,0.693323059,Moderate,Average,4,5,-0.4635371284288256,0.4265479617120145,0,Female
